,train_loss,val_loss,PSNR
0,0.0004397290487308055,0.0034262923538684845,22.08133316040039
1,0.00030432946764631197,0.000335808929335326,22.08133316040039
2,0.0002613362262956798,0.00027808666410855947,22.08133316040039
3,0.0002351315736421384,0.0002454398806206882,22.08133316040039
4,0.00021902412814088165,0.0002250161905772984,22.08133316040039
5,0.00020892088405089453,0.00021245556408539416,22.08133316040039
6,0.00020236861306475475,0.00020445346711203455,22.08133316040039
7,0.00019790672496892511,0.00019913946185261012,22.08133316040039
8,0.00019470649724826215,0.00019542283643968404,22.08133316040039
9,0.00019229424574878067,0.00019268843745812774,22.08133316040039
10,0.00019039004188962282,0.00019057664568535983,22.08133316040039
11,0.00018882558598415925,0.00018887262186035515,22.08133316040039
12,0.00018749757808400318,0.00018744755978696047,22.08133316040039
13,0.00018634162221569568,0.00018622263399884105,22.08133316040039
14,0.00018531560598639772,0.00018514180618803947,22.08133316040039
15,0.00018439214495010673,0.00018417812450788914,22.08133316040039
16,0.00018355225134873763,0.0001833034592680633,22.08133316040039
17,0.0001827818755293265,0.00018250502760056408,22.08133316040039
18,0.0001820705350895878,0.00018177090699318795,22.08133316040039
19,0.00018140996652073226,0.00018109093026723712,22.08133316040039
